compound,zone,km_marker,developer,unit_type,area_sqm,total_price_egp,price_recency,pairing_confidence,source_url,notes,price_per_sqm_egp,egp_per_usd,price_per_sqm_usd,total_price_usd,relative_price_per_sqm
Gaia,Ras El Hekma,193,Al Ahly Sabbour,chalet,44,4100000,2026,exact,https://ipgegypt.com/en/projects/48-gaia-north-coast-ras-el-hekma,1BR micro chalet - high psqm outlier,93181.81818181818,49.95,1865.5018655018653,82082.08208208208,2.4573956672722104
Marassi Marina Views,Sidi Abdel Rahman,129,Emaar Misr,chalet,66,4365888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,1BR small view unit,66149.81818181818,30.9,2140.770814945572,141290.87378640778,1.312697463788911
Almaza Bay,Sidi Heneish,247,Travco,chalet,83,10700000,2026,exact,https://compoundgate.com/en/north-coast/almaza-bay,smallest chalet,128915.6626506024,49.95,2580.894147159207,214214.2142142142,1.1110090534059096
D-Bay,Al Dabaa,167,Tatweer Misr,chalet,95,13836000,2026,low,https://www.nawy.com/compound/452-d-bay,starting-combo pairing likely inflates psqm,145642.1052631579,49.95,2915.757863126284,276996.996996997,1.1669155720272781
Modon Ras El Hekma (Wadi Yemm),Ras El Hekma,200,Modon Developments,chalet,100,18000000,2026,estimate,https://egyproperty-eg.com/modon-ras-el-hekma-wadi-yemm-prices-units-2026/,midpoint of published 145-220k EGP/sqm range,180000.0,49.95,3603.603603603604,360360.3603603604,4.746969191413637
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,chalet,100,2500000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,entry chalet,25000.0,49.95,500.5005005005005,50050.05005005005,0.3069014828889059
Marassi Lea,Sidi Abdel Rahman,129,Emaar Misr,chalet,108,6154888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,3BR chalet,56989.7037037037,30.9,1844.3269807023853,199187.3139158576,1.1309213172485422
Marassi Marina West,Sidi Abdel Rahman,129,Emaar Misr,chalet,109,5829888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,1-3BR unit,53485.21100917431,30.9,1730.9129776431816,188669.5145631068,1.0613770796615076
June Ras El Hekma,Ras El Hekma,193,SODIC,chalet,110,4050000,2025,exact,https://www.propertyfinder.eg/blog/en/best-compounds-in-north-coast/,SODIC premium positioning,36818.181818181816,48.5,759.1377694470477,83505.15463917526,1.0
SouthMed,Al Dabaa,167,TMG,chalet,112,14500000,2026,low,https://imicegypt.com/en/projects/south-med-egypt/,starting-combo pairing uncertain,129464.28571428572,49.95,2591.877591877592,290290.29029029026,1.0372954356050827
Marassi Santorini,Sidi Abdel Rahman,129,Emaar Misr,chalet,114,6453888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,2BR apartment/chalet,56613.05263157895,30.9,1832.1376256174417,208863.6893203884,1.123446936808787
Hacienda Bay,Sidi Abdel Rahman,124,Palm Hills,chalet,115,3000000,2025,exact,https://sawahelmasr.com/compounds/hacienda-bay/,avg price incl. 200sqm garden,26086.95652173913,48.5,537.8753922008068,61855.67010309279,0.3298193614408072
Gaia,Ras El Hekma,193,Al Ahly Sabbour,chalet,122,3400000,2026,exact,https://ipgegypt.com/en/projects/48-gaia-north-coast-ras-el-hekma,2BR chalet,27868.852459016394,49.95,557.9349841644923,68068.06806806807,0.7349588001277942
Solare,Ras El Hekma,199,Misr Italia,chalet,123,13445722,2026,exact,https://homeandmall.com/en-eg/north-coast/solare-north-coast/,3BR chalet,109314.81300813008,49.95,2188.484744907509,269183.6236236236,2.8828558306374226
Fouka Bay,Al Dabaa,211,Tatweer Misr,chalet,125,13500000,2025,exact,https://www.propertyfinder.eg/blog/en/best-compounds-in-north-coast/,prime beachfront listing,108000.0,48.5,2226.8041237113403,278350.5154639175,0.8911893681827232
Mountain View Ras El Hekma,Ras El Hekma,200,Mountain View (DMG),chalet,125,1800000,2025,exact,https://www.nawy.com/blog/95621-mountain-view-ras-el-hekma-chalets-with-exclusive-prices/amp,entry-phase ground chalet,14400.0,48.5,296.9072164948454,37113.40206185567,0.3911111111111112
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,chalet,127,9590000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,3BR chalet low end,75511.81102362205,49.95,1511.7479684408818,191991.991991992,0.9269874711510575
Almaza Bay,Sidi Heneish,247,Travco,chalet,130,13410000,2026,exact,https://compoundgate.com/en/north-coast/almaza-bay,larger chalet,103153.84615384616,49.95,2065.142065142065,268468.46846846846,0.8889909465940904
Mountain View Ras El Hekma,Ras El Hekma,200,Mountain View (DMG),chalet,132,2300000,2025,exact,https://www.nawy.com/blog/95621-mountain-view-ras-el-hekma-chalets-with-exclusive-prices/amp,ground chalet with garden,17424.242424242424,48.5,359.262730396751,47422.68041237113,0.4732510288065844
Seazen,Al Dabaa,170,Al Qamzi,chalet,135,6400000,2026,exact,https://www.propertyfinder.eg/blog,3BR 2BA chalet,47407.40740740741,49.95,949.0972453935416,128128.12812812813,0.3798382468667807
Mazarine,Al Alamein,107,City Edge,chalet,140,9770000,2026,low,https://imicegypt.com/en/projects/mazarine-new-alamein/,starting-combo pairing uncertain,69785.71428571429,49.95,1397.111397111397,195595.5955955956,1.1840458205362332
Marassi (2BR chalet),Sidi Abdel Rahman,129,Emaar Misr,chalet,144,14400000,2026,exact,https://realestate.eg/en/2864-chalet-for-sale-in-marassi-north-coast-from-144-meter,same compound 3yr later - appreciation check,100000.0,49.95,2002.002002002002,288288.2882882883,1.2276059315556236
Palm Hills New Alamein,Al Alamein,108,Palm Hills,chalet,146,8815000,2026,exact,https://badyapalmhills.com/apartment/new-alamein-north-coast/,chalet low end,60376.71232876712,49.95,1208.7429895649072,176476.47647647647,1.0244044160371877
La Vista Bay East,Al Dabaa,204,La Vista Developments,chalet,150,20000000,2026,exact,https://gprproperty.com/en/project/la-vista-north-coast/,same unit type 1yr later - appreciation check,133333.33333333334,49.95,2669.3360026693363,400400.4004004004,1.068295069312821
La Vista Bay East,Al Dabaa,204,La Vista Developments,chalet,150,17500000,2025,exact,https://shary.com.eg/en/projects/la-vista-bay-east-north-coast/,ultra-prime beachfront (2025 vintage),116666.66666666669,48.5,2405.498281786942,360824.7422680413,0.9627045643949171
Downtown New Alamein,Al Alamein,108,City Edge,chalet,157,6600000,2026,exact,https://www.nawy.com/compound/314-downtown-new-alamein,precise single listing,42038.21656050955,49.95,841.6059371473383,132132.13213213213,0.7132573640713997
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,chalet,161,12310000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,3BR chalet high end,76459.62732919255,49.95,1530.7232698537046,246446.44644644644,0.9386229203384924
Downtown New Alamein,Al Alamein,108,City Edge,chalet,164,8168000,2026,exact,https://ipgegypt.com/en/projects/145-downtown-new-alamein-city-edge,ground floor chalet low end,49804.87804878049,49.95,997.094655631241,163523.5235235235,0.8450333753773333
Downtown New Alamein,Al Alamein,108,City Edge,chalet,174,10005000,2026,exact,https://ipgegypt.com/en/projects/145-downtown-new-alamein-city-edge,ground floor chalet high end,57500.0,49.95,1151.151151151151,200300.3003003003,0.9755955839628123
Palm Hills New Alamein,Al Alamein,108,Palm Hills,chalet,174,11043000,2026,exact,https://badyapalmhills.com/apartment/new-alamein-north-coast/,chalet high end,63465.51724137931,49.95,1270.5809257533394,221081.0810810811,1.076811797471398
Marassi Santorini,Sidi Abdel Rahman,129,Emaar Misr,chalet,209,7502888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,3BR larger chalet same subphase,35898.98564593301,30.9,1161.7794707421688,242811.90938511328,0.7123905810365985
