compound,km_marker,starting_price_egp,price_year,notes
Marassi North Coast,129,1500000,2022,chalet starting price
Amwaj North Coast,136,2500000,2022,chalet starting price
La Vista North Coast,170,3000000,2022,chalet starting price
Fouka Bay North Coast,211,4300000,2022,chalet starting price
La Vista Bay North Coast,170,2000000,2022,chalet starting price
Blue Park Sidi Abdel Rahman,130,4200000,2022,chalet starting price
Telal North Coast,129,3000000,2022,chalet starting price
Venus Resort North Coast,49.5,650000,2022,chalet starting price
Hacienda Bay North Coast,124,1800000,2022,chalet starting price
Bo Sands North Coast,121.5,1200000,2022,chalet starting price
Hacienda White,130,3000000,2022,chalet starting price
Helio Beach North Coast,50,475000,2022,chalet starting price
Marsilia North Coast,69,450000,2022,chalet starting price
Marsilia Beach 2 North Coast,73,1200000,2022,chalet starting price
Golf Marina,95,750000,2022,property starting price
Diplo North Coast,52,1500000,2022,chalet starting price
Amoun Resort North Coast,36.5,3500000,2022,chalet starting price
City Stars North Coast,195,1850000,2022,property starting price
Bo Island North Coast,120,2500000,2022,chalet starting price
Guevara Sidi Abdel Rahman,130,1000000,2022,chalet starting price
Nice North Coast,63,900000,2022,chalet starting price
Mina 5 North Coast,201,1650000,2022,chalet starting price
The Shore North Coast,186,772000,2022,chalet starting price
Marina North Coast,102,1500000,2022,chalet starting price
Marina Flowers North Coast,80,850000,2022,chalet starting price
Seashell North Coast,134,2500000,2022,chalet starting price
Blumar Wadi Degla,136,1200000,2022,chalet starting price
Swan Lake North Coast,180,3000000,2022,chalet starting price
Silla North Coast,136,700000,2022,chalet starting price
Kay North Coast,220,1200000,2022,chalet starting price
Krer Lagoon,38.5,3160000,2022,chalet starting price
Diamond Beach North Coast,90,850000,2022,chalet starting price
Heidi Resort North Coast,58.5,1000000,2022,chalet/villa starting price
Diplomatic Village North Coast,57,1350000,2022,chalet starting price
Emirates Heights North Coast,179,1300000,2022,property starting price
Golden Beach North Coast,25,1350000,2022,chalet starting price
Lazurde Bay North Coast,121,2000000,2022,chalet starting price
Stella North Coast,124,2500000,2022,chalet starting price
Sidra North Coast,36,1000000,2022,chalet starting price
Lotus North Coast,31,1250000,2022,chalet starting price
Zomoroda North Coast,93,650000,2022,chalet starting price
Green Beach North Coast,89,1200000,2022,property starting price
Marakia North Coast,51,500000,2022,property starting price
Al Shorouk North Coast,40,750000,2022,property starting price
Casabianca North Coast,70,800000,2022,chalet starting price
Badr Resort North Coast,82.5,1200000,2022,property starting price
Dimora North Coast,75,290000,2022,chalet starting price
Marbella North Coast,67,750000,2022,chalet starting price
Ramses Resort North Coast,40,900000,2022,property starting price
El Montazah North Coast,79.5,850000,2022,chalet starting price
Aida Resort North Coast,77,450000,2022,property starting price
Al Roda North Coast,71,700000,2022,chalet starting price
Green Resort North Coast,7,950000,2022,chalet starting price
Casablanca North Coast,46,600000,2022,chalet starting price
Al Fayrouz Resort North Coast,37,170000,2022,chalet starting price
Tiba Rose North Coast,60,1500000,2022,property starting price
Cleopatra Resort North Coast,86,700000,2022,property starting price
Remas North Coast,70,950000,2022,chalet starting price
Al Karawan Resort North Coast,70,600000,2022,chalet starting price
Sumed North Coast,89,1000000,2022,property starting price
La Sirena North Coast,306,950000,2022,chalet starting price
Mountain View Ras El Hekma,200,1800000,2025,chalet starting price (updated)
June Ras El Hekma,193,4050000,2025,chalet price (updated)
Silversands,247,28200000,2026,project-wide starting price - ultra prime
Solare,199,13445722,2026,chalet starting price
Gaia,193,3400000,2026,chalet starting price
Seazen,170,6400000,2026,chalet price
Salt North Coast,185,28000000,2026,twin house starting price - project skews premium
D-Bay,167,13836000,2026,chalet starting price
Palm Hills New Alamein,108,8815000,2026,chalet starting price
Mazarine,107,9770000,2026,chalet starting price
SouthMed,167,14500000,2026,chalet starting price
Almaza Bay,247,10700000,2026,chalet starting price
Naia Bay,199,9000000,2026,chalet starting price
Downtown New Alamein,108,6600000,2026,chalet starting price
Modon Ras El Hekma (Wadi Yemm),200,15900000,2026,unit starting price - published range 15.9M-324M
